primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
Generalized pipeline - General insect detector & Global moth classifier,Dev meeting planning tab only ,13,Generalized pipeline - General insect detector & Global moth classifier,,,,,,,Antenna gaps - big picture,,,,ML/Feature,,,,,,,,,,,,,,
Order-level classifier (refinement & calibration),Dev meeting planning tab only ,14,Order-level classifier (refinement & calibration),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Planning topics at a high level,,,,ML/Feature,,,,,,,,,,,,,,
"Size estimation (exposing in UI, centimeter calibration, incorporating into models)",Dev meeting planning tab only ,15,"Size estimation (exposing in UI, centimeter calibration, incorporating into models)",,,,,,,"[Internal] Antenna Dev Team - Meeting Notes: Planning topics at a high level, Weekly Meetings: 2026-01-12",,,,ML/Feature,,,,,,,,,,,,,,
Tracking for counting (biomass estimation),Dev meeting planning tab only ,16,Tracking for counting (biomass estimation),,,,,,,Weekly Meetings: 2026-01-12,,,,ML/Feature,,,,,,,,,,,,,,
Detector with segmentation (for biomass estimation),Dev meeting planning tab only ,17,Detector with segmentation (for biomass estimation),,,,,,,Weekly Meetings: 2026-01-12,,,,ML/Feature,,,,,,,,,,,,,,
Automated Quality Filters (to auto-remove blurry/dark/tiny images),Dev meeting planning tab only ,18,Automated Quality Filters (to auto-remove blurry/dark/tiny images),,,,,,,Antenna Project Retrospective & Planning: Feature Gaps,,,,ML/Post-processing/Feature,,,,,,,,,,,,,,
"OOD Feature Refinement (for ""unexpected species"" flagging)",Dev meeting planning tab only ,19,"OOD Feature Refinement (for ""unexpected species"" flagging)",,,,,,,Lean Team Roadmap: Q4,,,,ML/Feature,,,,,,,,,,,,,,
Data Uploader Tool (Desktop app to abstract S3 uploads / sync from SD cards),Dev meeting planning tab only ,20,Data Uploader Tool (Desktop app to abstract S3 uploads / sync from SD cards),,,,,,,"Antenna Project Retrospective & Planning: Feature Gaps, Antenna gaps - big picture",,,,Data Ingestion/Feature,,,,,,,,,,,,,,
"Importing Taxa lists, Data processed externally, Captures (public HTTP urls)",Dev meeting planning tab only ,21,"Importing Taxa lists, Data processed externally, Captures (public HTTP urls)",,,,,,,Antenna gaps - big picture,,,,Data Ingestion/Feature,,,,,,,,,,,,,,
Darwincore export,Dev meeting planning tab only ,22,Darwincore export,,,,,,,Antenna gaps - big picture,,,,Data Export/Feature,,,,,,,,,,,,,,
Export format for ML retraining,Dev meeting planning tab only ,23,Export format for ML retraining,,,,,,,Antenna gaps - big picture,,,,Data Export/Feature,,,,,,,,,,,,,,
Sign up as new user (currently requires admin support),Dev meeting planning tab only ,24,Sign up as new user (currently requires admin support),,,,,,,Antenna workflow overview & gaps: Line 2,,,,Access/Bug/Task,,,,,,,,,,,,,,
"Reset password (Unstable, backend configuration incomplete)",Dev meeting planning tab only ,25,"Reset password (Unstable, backend configuration incomplete)",,,,,,,Antenna workflow overview & gaps: Line 6,,,,Access/Bug,,,,,,,,,,,,,,
Role Management UI (for Project Managers to invite members and assign roles),Dev meeting planning tab only ,26,Role Management UI (for Project Managers to invite members and assign roles),,,,,,,"Antenna Project Retrospective & Planning: Strategic Direction, Lean Team Roadmap: Q2",,,,Access/Feature,,,,,,,,,,,,,,
Configure members for a project (Partially implemented),Dev meeting planning tab only ,27,Configure members for a project (Partially implemented),,,,,,,Antenna workflow overview & gaps: Line 11,,,,Access/Feature,,,,,,,,,,,,,,
Streamline form handling across app,Dev meeting planning tab only ,28,Streamline form handling across app,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,UX/Technical Debt,,,,,,,,,,,,,,
More obvious interlinking between occurrence detail and session detail,Dev meeting planning tab only ,29,More obvious interlinking between occurrence detail and session detail,,,,,,,Antenna gaps - big picture,,,,UX/Bug,,,,,,,,,,,,,,
Consistent saving behavior,Dev meeting planning tab only ,30,Consistent saving behavior,,,,,,,Antenna gaps - big picture,,,,UX/Bug,,,,,,,,,,,,,,
More quick buttons for processing & collections,Dev meeting planning tab only ,31,More quick buttons for processing & collections,,,,,,,Antenna gaps - big picture,,,,UX/Feature,,,,,,,,,,,,,,
Hovering toolbar in the session detail per occurrence?,Dev meeting planning tab only ,32,Hovering toolbar in the session detail per occurrence?,,,,,,,Antenna gaps - big picture,,,,UX/Feature,,,,,,,,,,,,,,
Showing some evaluation & statistics within the UI / Summary metrics as you go,Dev meeting planning tab only ,33,Showing some evaluation & statistics within the UI / Summary metrics as you go,,,,,,,"Antenna gaps - big picture, [Internal] Antenna Dev Team - Meeting Notes: Planning topics at a high level",,,,Data Display/Feature,,,,,,,,,,,,,,
Default to order level & wider metrics,Dev meeting planning tab only ,34,Default to order level & wider metrics,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Planning topics at a high level,,,,Data Display/Feature,,,,,,,,,,,,,,
Knowing what’s been processed / verified (Progress bar),Dev meeting planning tab only ,35,Knowing what’s been processed / verified (Progress bar),,,,,,,Antenna gaps - big picture,,,,Data Tracking/Feature,,,,,,,,,,,,,,
New filters: Which nights were captured by all stations? Filter out extra nights,Dev meeting planning tab only ,36,New filters: Which nights were captured by all stations? Filter out extra nights,,,,,,,Weekly Meetings: 2026-01-12,,,,Data Filtering/Feature,,,,,,,,,,,,,,
Represent Antenna UI in Figma (for high fidelity prototyping),Dev meeting planning tab only ,37,Represent Antenna UI in Figma (for high fidelity prototyping),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,UX/Design/Task,,,,,,,,,,,,,,
Browser-based regression / integration tests (Cypress/Playwright),Dev meeting planning tab only ,38,Browser-based regression / integration tests (Cypress/Playwright),,,,,,,"[Internal] Antenna Dev Team - Meeting Notes: Michael's wishes, Dev Backlog, Anna's FE wishlist",,,,Testing/QA,,,,,,,,,,,,,,
Better db snapshots for automated and manual testing,Dev meeting planning tab only ,39,Better db snapshots for automated and manual testing,,,,,,,"[Internal] Antenna Dev Team - Meeting Notes: Dev Backlog, Michael's wishes",,,,DevOps/Testing,,,,,,,,,,,,,,
"Multiple environments and auto deployment (Dev, Staging, Branch deploys, Demo, Production)",Dev meeting planning tab only ,40,"Multiple environments and auto deployment (Dev, Staging, Branch deploys, Demo, Production)",,,,,,,"[Internal] Antenna Dev Team - Meeting Notes: Dev Backlog, Multiple environments section",,,,DevOps/Infrastructure,,,,,,,,,,,,,,
Automated backups (object storage backups),Dev meeting planning tab only ,41,Automated backups (object storage backups),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Francis's wishes,,,,Infrastructure/Task,,,,,,,,,,,,,,
Link to documentation (and write documentation!) / Documentation Sprint,Dev meeting planning tab only ,42,Link to documentation (and write documentation!) / Documentation Sprint,,,,,,,"[Internal] Antenna Dev Team - Meeting Notes: Self-service proposal, Lean Team Roadmap: Q2",,,,Documentation/Task,,,,,,,,,,,,,,
Use LLM to help with the table of contents / outline,Dev meeting planning tab only ,43,Use LLM to help with the table of contents / outline,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Dev Backlog,,,,Documentation/Tooling,,,,,,,,,,,,,,
Documentation of how to re-train a model with data from Antenna,Dev meeting planning tab only ,44,Documentation of how to re-train a model with data from Antenna,,,,,,,Antenna gaps - big picture,,,,Documentation/ML,,,,,,,,,,,,,,
"Documentation of how to configure processing services, pipelines, storage, and data source",Dev meeting planning tab only ,45,"Documentation of how to configure processing services, pipelines, storage, and data source",,,,,,,"Antenna workflow overview & gaps: Lines 14, 15, 19, 20",,,,Documentation/Task,,,,,,,,,,,,,,
Formalize Strategic Direction: Hosted Platform vs. Enterprise Portals vs. Open Source Only,Dev meeting planning tab only ,46,Formalize Strategic Direction: Hosted Platform vs. Enterprise Portals vs. Open Source Only,,,,,,,"Antenna 2026 Strategic Decision Matrix, Antenna Project Retrospective & Planning",,,,Strategy/Decision Task,,,,,,,,,,,,,,
Formally select Option A (Client Portals) as the Q1 Strategic Alignment goal (based on lean team),Dev meeting planning tab only ,47,Formally select Option A (Client Portals) as the Q1 Strategic Alignment goal (based on lean team),,,,,,,Lean Team Roadmap: Q1,,,,Strategy/Decision Task,,,,,,,,,,,,,,
"Transition public ""Sign-Up"" buttons to ""Contact Us""",Dev meeting planning tab only ,48,"Transition public ""Sign-Up"" buttons to ""Contact Us""",,,,,,,Lean Team Roadmap: Q1,,,,Strategy/User Access,,,,,,,,,,,,,,
Create a user matrix and a feature matrix (for Jan 27th meeting),Dev meeting planning tab only ,49,Create a user matrix and a feature matrix (for Jan 27th meeting),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: First Planning Meeting,,,,Planning Task,,,,,,,,,,,,,,
Define Milestones for 2026 (What do we want by April/July?),Dev meeting planning tab only ,50,Define Milestones for 2026 (What do we want by April/July?),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: First Planning Meeting,,,,Planning Task,,,,,,,,,,,,,,
Keep track of email correspondence with current and new contacts,Dev meeting planning tab only ,51,Keep track of email correspondence with current and new contacts,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Planning topics at a high level,,,,Task/Tooling,,,,,,,,,,,,,,
New release on GitHub,Dev meeting planning tab only ,52,New release on GitHub,,,,,,,Antenna gaps - big picture,,,,Release Task,,,,,,,,,,,,,,
Add to Wildlabs inventory,Dev meeting planning tab only ,53,Add to Wildlabs inventory,,,,,,,Antenna gaps - big picture,,,,Communication Task,,,,,,,,,,,,,,
Mailing list & regular updates,Dev meeting planning tab only ,54,Mailing list & regular updates,,,,,,,Antenna gaps - big picture,,,,Communication Task,,,,,,,,,,,,,,
"Focus on portability, quick install, cloud & local",Dev meeting planning tab only ,55,"Focus on portability, quick install, cloud & local",,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Big features & topics,,,,Strategy/Deployment,,,,,,,,,,,,,,
Reworking collections - clarifying & solidifying dynamic filters vs. fixed datasets,Dev meeting planning tab only ,56,Reworking collections - clarifying & solidifying dynamic filters vs. fixed datasets,,,,,,,Antenna gaps - big picture,,,,Data Management/Feature,,,,,,,,,,,,,,
"Processing convenience (buttons for process this night, process this collection)",Dev meeting planning tab only ,57,"Processing convenience (buttons for process this night, process this collection)",,,,,,,Antenna gaps - big picture,,,,UX/Feature,,,,,,,,,,,,,,
Project manager (role/tooling),Dev meeting planning tab only ,58,Project manager (role/tooling),,,,,,,Antenna gaps - big picture,,,,Strategy/Roles,,,,,,,,,,,,,,
Everything related to the infrastructure (accounted for),Dev meeting planning tab only ,59,Everything related to the infrastructure (accounted for),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Francis's wishes,,,,Technical/Infrastructure,,,,,,,,,,,,,,
Planning for meetings (accounted for),Dev meeting planning tab only ,60,Planning for meetings (accounted for),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Francis's wishes,,,,Planning Task,,,,,,,,,,,,,,
Requirements doc - Mapping the pipeline - Documentation for internal use - Showing where the gaps are in the steps,Mt. Totumas Reflection,1,Requirements doc - Mapping the pipeline - Documentation for internal use - Showing where the gaps are in the steps,Planning features,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities,,,,,,,,,,,,,,,,,,
Updated diagrams for presentations in October,Mt. Totumas Reflection,2,Updated diagrams for presentations in October,Planning features,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities,,,,,,,,,,,,,,,,,,
Documentation - first for internal then for public,Mt. Totumas Reflection,3,Documentation - first for internal then for public,Planning features,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities,,,,,,,,,,,,,,,,,,
Better detector / segmenter,Mt. Totumas Reflection,4,Better detector / segmenter,Dev & ML features,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities,,,,,,,,,,,,,,,,,,
Tracking,Mt. Totumas Reflection,5,Tracking,Dev & ML features,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities,,,,,,,,,,,,,,,,,,
Class masking,Mt. Totumas Reflection,6,Class masking,Dev & ML features / Features & Bugs from Slack / Features & Bugs from Workflow Slides,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities; Features & Bugs from Slack,,,,,,,,,,,,,,,,,,
"Taxon rank rollup (genus, family level predictions) - never show a low confidence result",Mt. Totumas Reflection,7,"Taxon rank rollup (genus, family level predictions) - never show a low confidence result",Dev & ML features / Improving the classifier & clustering algorithm,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities,,,,,,,,,,,,,,,,,,
Post-processing based on image quality (what are we unconfident about),Mt. Totumas Reflection,8,Post-processing based on image quality (what are we unconfident about),Dev & ML features,,,,,,Mount Totumas ML reflection & follow-up: Summary of Priorities,,,,,,,,,,,,,,,,,,
